,Entry Cost
Alabama,370000
Alaska,320000
Arizona,450000
Arkansas,230000
California,330000
Colorado,120000
Connecticut,350000
Delaware,340000
DistrictofColumbia,380000
Florida,330000
Georgia,470000
Hawaii,290000
Idaho,230000
Illinois,480000
Indiana,250000
Iowa,340000
Kansas,110000
Kentucky,360000
Louisiana,350000
Maine,290000
Maryland,220000
Massachusetts,220000
Michigan,420000
Minnesota,330000
Mississippi,200000
Missouri,410000
Montana,390000
Nebraska,490000
Nevada,260000
NewHampshire,170000
NewJersey,260000
NewMexico,440000
NewYork,350000
NorthCarolina,280000
NorthDakota,320000
Ohio,360000
Oklahoma,180000
Oregon,420000
Pennsylvania,250000
RhodeIsland,100000
SouthCarolina,370000
SouthDakota,210000
Tennessee,160000
Texas,360000
Utah,430000
Vermont,140000
Virginia,310000
Washington,140000
WestVirginia,240000
Wisconsin,390000
Wyoming,240000
